Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
17/3/2022,4.42,4.42,4.48,4.4,4.44,0.02,0.452488688,4.440112515,4.42,4.44,13633.7,60.535162,-,-,13633.818,60.53568536,-,-,-,18.99,0.26,8.13,0.55,-,-,52864.438,0.114508267,-,-,1,11906404956,-,-
18/3/2022,4.44,4.44,4.58,4.44,4.56,0.12,2.702702703,4.512455656,4.56,4.58,25702.7,115.982294,-,-,25702.85,115.9829681,-,-,-,19.51,0.27,8.35,0.55,-,-,54293.2066,0.215874146,-,-,1,11906404956,-,-
21/3/2022,4.56,4.56,4.68,4.52,4.62,0.06,1.315789474,4.606644981,4.62,4.64,35230.8,162.295788,-,-,35230.998,162.2967061,-,-,-,19.76,0.27,8.46,0.55,-,-,55007.5909,0.295899544,-,-,1,11906404956,-,-
22/3/2022,4.62,4.62,4.66,4.58,4.64,0.02,0.432900433,4.619250982,4.62,4.64,28851.1,133.270472,-,-,28851.398,133.2718405,-,-,-,19.85,0.27,8.49,0.55,-,-,55245.719,0.242318299,-,-,1,11906404956,-,-
23/3/2022,4.64,4.68,4.78,4.66,4.72,0.08,1.724137931,4.719098109,4.7,4.72,64974.6,306.621512,-,-,64974.91,306.6229737,-,-,-,20.19,0.28,8.64,0.55,-,-,56198.23139,0.545713927,-,-,1,11906404956,-,-
24/3/2022,4.72,4.68,4.72,4.66,4.72,0,0,4.694859169,4.7,4.72,15007.3,70.45716,-,-,15007.395,70.45759812,-,-,-,20.19,0.28,8.64,0.55,-,-,56198.23139,0.126044722,-,-,1,11906404956,-,-
25/3/2022,4.72,4.72,4.76,4.62,4.62,-0.1,-2.118644068,4.685755767,4.62,4.64,29575.9,138.585444,-,-,29576.035,138.5860807,-,-,-,19.76,0.27,8.46,0.55,-,-,55007.5909,0.24840441,-,-,1,11906404956,-,-
28/3/2022,4.62,4.6,4.64,4.56,4.64,0.02,0.432900433,4.608772357,4.62,4.64,13726.3,63.261392,-,-,13726.345,63.26159904,-,-,-,19.85,0.27,8.49,0.55,-,-,55245.719,0.115285387,-,-,1,11906404956,-,-
29/3/2022,4.64,4.66,4.74,4.64,4.72,0.08,1.724137931,4.695857486,4.7,4.72,32532.9,152.769862,-,-,32533,152.770332,-,-,-,20.19,0.28,8.64,0.55,-,-,56198.23139,0.273239488,-,-,1,11906404956,-,-
30/3/2022,4.72,4.72,4.74,4.68,4.72,0,0,4.706840452,4.7,4.72,12348.6,58.12289,-,-,12348.699,58.12336922,-,-,-,20.19,0.28,8.64,0.55,-,-,56198.23139,0.103714757,-,-,1,11906404956,-,-
31/3/2022,4.72,4.72,4.74,4.68,4.7,-0.02,-0.423728814,4.708663826,4.7,4.72,12251.4,57.687724,-,-,12251.573,57.68854766,-,-,-,20.11,0.28,8.6,0.55,-,-,55960.10329,0.102899011,-,-,1,11906404956,-,-
1/4/2022,4.7,4.68,4.7,4.64,4.66,-0.04,-0.85106383,4.670732346,4.66,4.68,15591,72.821388,-,-,15591.173,72.82220252,-,-,-,19.94,0.27,8.53,0.55,-,-,55483.84709,0.13094778,-,-,1,11906404956,-,-
4/4/2022,4.66,4.7,4.72,4.58,4.6,-0.06,-1.287553648,4.63257645,4.58,4.6,12096.1,56.036108,-,-,12096.2,56.0365728,-,-,-,19.68,0.27,8.42,0.55,-,-,54769.4628,0.101594058,-,-,1,11906404956,-,-
5/4/2022,4.6,4.6,4.7,4.58,4.58,-0.02,-0.434782609,4.649322984,4.58,4.6,21089.6,98.052362,-,-,21089.955,98.05400992,-,-,-,19.59,0.27,8.38,0.55,-,-,54531.3347,0.177131175,-,-,1,11906404956,-,-
7/4/2022,4.58,4.58,4.62,4.44,4.46,-0.12,-2.620087336,4.513229812,4.46,4.48,22887.4,103.296096,-,-,22887.471,103.2964158,-,-,-,19.08,0.26,8.16,0.55,-,-,53102.5661,0.192228226,-,-,1,11906404956,-,-
8/4/2022,4.46,4.48,4.52,4.46,4.5,0.04,0.896860987,4.49587435,4.48,4.5,8827.7,39.68823,-,-,8827.724,39.68833816,-,-,-,19.25,0.26,8.24,0.55,-,-,53578.8223,0.074142649,-,-,1,11906404956,-,-
11/4/2022,4.5,4.5,4.5,4.38,4.4,-0.1,-2.222222222,4.4178952,4.4,4.42,12717.6,56.185024,-,-,12717.828,56.1860418,-,-,-,18.82,0.26,8.05,0.55,-,-,52388.18181,0.106815013,-,-,1,11906404956,-,-
12/4/2022,4.4,4.4,4.5,4.4,4.44,0.04,0.909090909,4.447065784,4.44,4.46,20957.9,93.20116,-,-,20958.115,93.2020986,-,-,-,18.99,0.26,8.13,0.55,-,-,52864.438,0.176023872,-,-,1,11906404956,-,-
18/4/2022,4.44,4.42,4.54,4.42,4.52,0.08,1.801801802,4.500861188,4.5,4.52,22794.1,102.59308,-,-,22794.11,102.593125,-,-,-,19.34,0.26,8.27,0.55,-,-,53816.9504,0.191444102,-,-,1,11906404956,-,-
19/4/2022,4.52,4.54,4.66,4.52,4.62,0.1,2.212389381,4.597049145,4.6,4.62,18750.5,86.19697,-,-,18750.544,86.1971654,-,-,-,19.76,0.27,8.46,0.55,-,-,55007.5909,0.157482834,-,-,1,11906404956,-,-
20/4/2022,4.62,4.66,4.7,4.56,4.58,-0.04,-0.865800866,4.659498106,4.58,4.6,22048.5,102.734944,-,-,22048.74,102.7360517,-,-,-,19.59,0.27,8.38,0.55,-,-,54531.3347,0.185183858,-,-,1,11906404956,-,-
21/4/2022,4.58,4.6,4.64,4.54,4.56,-0.02,-0.436681223,4.586286715,4.56,4.58,6223.6,28.543214,-,-,6223.789,28.5440759,-,-,-,19.51,0.27,8.35,0.55,-,-,54293.2066,0.052272613,-,-,1,11906404956,-,-
22/4/2022,4.56,4.56,4.66,4.56,4.6,0.04,0.877192982,4.611710261,4.6,4.62,8284.7,38.206636,-,-,8284.964,38.2078631,-,-,-,19.68,0.27,8.42,0.55,-,-,54769.4628,0.069584094,-,-,1,11906404956,-,-
25/4/2022,4.6,4.54,4.64,4.52,4.6,0,0,4.584222378,4.6,4.62,8846.2,40.552948,-,-,8846.231,40.55308822,-,-,-,19.68,0.27,8.42,0.55,-,-,54769.4628,0.074298086,-,-,1,11906404956,-,-
26/4/2022,4.6,4.6,4.64,4.54,4.54,-0.06,-1.304347826,4.577174039,4.54,4.56,10876.3,49.782718,-,-,10876.385,49.78310506,-,-,-,19.42,0.27,8.31,0.55,-,-,54055.0785,0.091349026,-,-,1,11906404956,-,-
